Recording date:	2017/10/06
Recording time:	14:45:27
Recording resolution	1366 x 768

pygaze initiation report start
display resolution: 1366x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7999535193 ms
accuracy (in pixels): LX=681.937, LY=383.2378, RX=681.9432, RY=383.2292
precision (RMS noise in pixels): X=18.3030052177, Y=26.7581763205
distance between participant and display: 57.0 cm
fixation threshold: 51.3107898708 pixels
speed threshold: 1.19697837223 pixels/ms
accuracy threshold: 327.904497397 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
16.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
33.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
50.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
66.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
83.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
100.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
116.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
133.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
150.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
166.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
183.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
200.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
216.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
233.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
250.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
266.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
283.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
300.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
316.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
333.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
350.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
366.7	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
383.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
400.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
416.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
433.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
450.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
466.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
483.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
500.0	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
516.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.0000	
