"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","count_block_loop","count_block_sequence","count_end_of_experiment","count_experiment","count_experimental_loop","count_fixation","count_instructions","count_logger","count_pygaze_init","count_pygaze_log__stim_off","count_pygaze_log__stim_on","count_pygaze_start_recording","count_pygaze_stop_recording","count_sketchpad","count_trial_sequence","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_experimental_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_instructions","response_time","response_time_end_of_experiment","response_time_instructions","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stim1","stim2","subject_nr","subject_parity","time_block_loop","time_block_sequence","time_end_of_experiment","time_experiment","time_experimental_loop","time_fixation","time_instructions","time_logger","time_pygaze_init","time_pygaze_log__stim_off","time_pygaze_log__stim_on","time_pygaze_start_recording","time_pygaze_stop_recording","time_sketchpad","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","0","0","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a2","stim_b2","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","37785.2701993","35543.0675845","41632.577358","1707.67567528","41554.7176896","38529.4609699","36726.5206034","41582.4291337","38559.4783155","36726.4406324","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","1","1","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a6","stim_b6","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","42852.1802571","35543.0675845","46759.8342933","1707.67567528","46663.5269857","43596.5095871","41824.2318936","46682.267139","43667.9728595","41824.1502121","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","2","0","2","0","2","2","2","2","2","2","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","2","2","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a9","stim_b9","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","47919.1771285","35543.0675845","51833.325493","1707.67567528","51698.600465","48663.2237802","46851.1432002","51724.8091387","48703.53429","46851.0602357","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","3","0","3","0","3","3","3","3","3","3","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","3","3","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a4","stim_b4","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","52944.3748322","35543.0675845","56800.9090178","1707.67567528","56706.4260751","53688.82476","51909.5759057","56749.9512476","53711.0930452","51909.4925135","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","4","0","4","0","4","4","4","4","4","4","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","4","4","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a8","stim_b8","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","57894.4665208","35543.0675845","61801.449998","1707.67567528","61681.4601591","58638.6572914","56873.3678648","61750.508051","58686.3516466","56873.2870385","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","5","0","5","0","5","5","5","5","5","5","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","5","5","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a3","stim_b3","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","62911.9694759","35543.0675845","66834.9326106","1707.67567528","66714.4963025","63655.7454237","61875.3487505","66733.867243","63719.5229282","61875.2670689","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","6","0","6","0","6","6","6","6","6","6","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","6","6","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a1","stim_b1","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","67953.9260195","35543.0675845","71868.6752357","1707.67567528","71723.7639565","68698.6406643","66910.4239403","71793.3789153","68728.6370549","66910.3431141","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","7","0","7","0","7","7","7","7","7","7","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","7","7","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a10","stim_b10","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","73054.0620986","35543.0675845","76910.5979948","1707.67567528","76824.9734428","73798.4380426","72026.5952715","76860.3958864","73829.2952974","72026.5161559","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","8","0","8","0","8","8","8","8","8","8","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","8","8","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a5","stim_b5","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","78012.7722649","35543.0675845","81968.5359065","1707.67567528","81831.7213691","78756.9343827","76986.067942","81860.8222557","78836.5974611","76985.9819839","PyGaze Tobii Test","0","0","0","yes","1366"
"undefined","undefined","undefined","undefined","#808080","no","psycho","psycho","psycho","0","relative","undefined","undefined","0","0","0","0","0","9","0","9","0","9","9","9","9","9","9","10/06/17 13:58:43","A template for eye-tracking experiments","yes","PyGazeTobiiTest.osexp","C:\Users\Epsi\Desktop\TobiiTest","no","mono","no","22","no","black","no","yes","768","psycho","9","9","0","C:/Users/Epsi/Desktop/TobiiTest/subject-0.csv","psycho","Jazzy James","3.1.9","no","0","space","NA","space","1155.52646568","NA","1155.52646568","2","legacy","1024","2","48000","-16","experiment","stim_a7","stim_b7","0","even","36699.7097951","36699.6584769","NA","1707.29592","36699.0037411","83096.5061659","35543.0675845","86977.8732678","1707.67567528","86858.8101515","83840.6738432","82062.8140037","86877.005048","83863.6327869","82062.7220585","PyGaze Tobii Test","0","0","0","yes","1366"
