pygaze initiation report start
display resolution: 1366x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 59 Hz
sampletime: 16.7217357143 ms
accuracy (in pixels): LX=499.826702623, LY=287.197507483, RX=496.967621471, RY=286.105793117
precision (RMS noise in pixels): X=12.9061599834, Y=22.8484512416
distance between participant and display: 57.0 cm
fixation threshold: 51.3107898708 pixels
speed threshold: 1.19697837223 pixels/ms
accuracy threshold: 327.904497397 pixels/ms**2
pygaze calibration report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
137.4780		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
154.1600		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
170.8450		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
187.5260		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
220.8690		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
237.5410		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
254.2130		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
270.8850		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
287.5570		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
304.2280		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
320.9000		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
337.5520		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
354.1990		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
370.8420		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
387.5060		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
404.1730		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
420.8410		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
437.5080		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
454.1760		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
470.8430		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
487.5110		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
504.1780		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
520.8460		-1	-1	0	-1	-1	0	-1	-1	-1.0000	0	-1.0000	0
